2025-06-13T08:12:35.975372962-06:00 INFO kanata-tray config folder: /home/isv/repos/keyboards/kanata/kanata-tray
2025-06-13T08:12:35.976136036-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/default.ico
2025-06-13T08:12:35.976183652-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/crash.ico
2025-06-13T08:12:35.976261033-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/pause.ico
2025-06-13T08:12:35.9763616-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/live-reload.ico
2025-06-13T08:12:36.025569997-06:00 INFO Running preset 'Main Preset'
2025-06-13T08:18:02.2498288-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:18:09.159963232-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:18:09.381544995-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:18:10.561969453-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:18:10.710173313-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:18:13.233914228-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:18:13.684737439-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:18:25.761904534-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:18:26.006514995-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:18:30.654440372-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:18:30.997686016-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:18:35.532760878-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:18:35.66322308-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:18:42.459952118-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:18:43.491710046-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:18:51.078827832-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:18:51.410173584-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:19:06.000431079-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:19:06.360039703-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:19:11.913647541-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:19:12.083508302-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:19:16.809944595-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:19:17.525492473-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:19:43.415624689-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:19:44.101880914-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:19:45.788760297-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:19:45.95351461-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:19:46.720525762-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:19:46.869827467-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:19:47.809121032-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:19:47.932905364-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:19:56.415633016-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:19:56.483791719-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:01.875257454-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:20:01.973039638-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:05.123181582-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:20:05.129277369-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:07.114023115-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:20:07.173852101-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:11.211298562-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:11.487072976-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:12.339757485-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:12.453747669-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:13.13007908-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:13.21920916-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:13.86796905-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:13.983329223-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:14.6241278-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:14.748741865-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:16.507940297-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:16.767263253-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:25.596483935-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:26.912493522-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:38.278706706-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:39.025529485-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:40.97626526-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:41.896522334-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:44.130353912-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:44.404679913-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:20:48.705594603-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:20:49.059545751-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:21:16.171983161-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:21:16.919833629-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:21:29.504568954-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:21:29.684084242-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:21:59.231246759-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:21:59.417974436-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:21:59.781637224-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:21:59.873253268-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:22:07.418842382-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:22:07.551354699-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:22:09.653388656-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:22:09.944980511-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:22:11.693294757-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:22:11.847068781-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:22:13.726931829-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:22:13.996812824-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:22:20.626175148-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:22:20.827705201-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:22:22.649134901-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:22:22.853845893-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:22:24.446497919-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:22:24.605737493-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:22:59.223409628-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:22:59.444201621-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:23:08.450138305-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:23:08.572849822-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:23:11.094718748-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:23:11.217622609-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:23:36.82437811-06:00 INFO Setting icon: preset:*, layer:mouse
2025-06-13T08:23:36.825435505-06:00 INFO Setting icon: preset:*, layer:mouse-fast
2025-06-13T08:23:37.365809148-06:00 INFO Setting icon: preset:*, layer:mouse
2025-06-13T08:23:37.546593875-06:00 INFO Setting icon: preset:*, layer:mouse-fast
2025-06-13T08:23:37.813694686-06:00 INFO Setting icon: preset:*, layer:mouse
2025-06-13T08:23:38.233267448-06:00 INFO Setting icon: preset:*, layer:mouse-scroll
2025-06-13T08:23:39.033447777-06:00 INFO Setting icon: preset:*, layer:mouse
2025-06-13T08:23:41.569910443-06:00 INFO Setting icon: preset:*, layer:mouse-fast
2025-06-13T08:23:41.727344769-06:00 INFO Setting icon: preset:*, layer:mouse
2025-06-13T08:23:43.559782786-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:23:47.235833044-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:23:47.442661599-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:24:12.235482827-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:24:12.354746948-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:24:13.149656897-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:24:13.42393301-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:24:19.606934023-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:24:20.016801597-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:24:21.394195386-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:24:21.59303317-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:24:43.623613327-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:24:43.999622731-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:24:44.85540512-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:24:44.975842104-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:24:56.479439247-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:24:56.695674695-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:25:44.683436787-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:25:44.78224874-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:25:53.70165803-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:25:54.42089566-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:25:56.773215713-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:25:56.89004373-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:25:59.533487629-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:25:59.752052587-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:26:01.866389171-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:26:02.096623025-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:26:03.592943047-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:26:03.785398411-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:26:05.864609364-06:00 INFO Setting icon: preset:*, layer:symbols
